Species,Order,Female body mass (kg),Male body mass (kg),Species body mass (kg),Female sexual maturity (days),Male sexual maturity (days),Species sexual maturity (days),Source of sexual maturity,CMR,ICM,Adult life expectancy,Diet (Animal),Diet (Invertebrate),Diet (Vertebrate),Diet (Fish),Diet (Reptile),Diet (Bird),Diet (Mammals),No.individuals,No.dead individuals,No. neoplasia cases,No. individuals with available postmortem pathological records
Nanger_dama,Artiodactyla,46.56,57.56,52.06,540,365,,https://nationalzoo.si.edu/animals/dama-gazelle; https://www.researchgate.net/publication/262684087_Nanger_dama_Dama_Gazelle,0.0187,0.0196,2331.08,0,0,0,0,0,0,0,656,328,2,107
Nasua_nasua,Carnivora,4.51,5.68,5.09,810,747,,ZIMS,0.0394,0.1010,3252.73,1,1,0,0,0,0,0,1098,519,5,127
Neofelis_nebulosa,Carnivora,14.35,21.43,17.89,771,1121,,ZIMS,0.2609,0.2910,4215.39,1,0,1,0,0,0,1,286,96,6,23
Nycticebus_pygmaeus,Primates,0.57,0.55,0.56,494,,,ZIMS,0.1875,0.1638,3585.03,1,1,1,0,1,0,1,287,150,6,32
Odocoileus_virginianus,Artiodactyla,42.20,48.05,45.12,321,427,374,ZIMS,0.0000,0.0000,3189.76,0,0,0,0,0,0,0,276,149,0,46
Oryx_beisa,Artiodactyla,142.88,150.68,146.78,585,563,,ZIMS,0.0000,0.0000,4041.11,0,0,0,0,0,0,0,190,63,0,22
Oryx_dammah,Artiodactyla,137.29,139.84,138.57,617,563,,ZIMS,0.0164,0.0121,3507.35,0,0,0,0,0,0,0,1282,556,2,122
Oryx_gazella,Artiodactyla,165.90,162.82,164.36,581,563,,ZIMS,0.0000,0.0000,3094.84,0,0,0,0,0,0,0,396,191,0,47
Oryx_leucoryx,Artiodactyla,87.04,86.18,86.61,686,563,,ZIMS,0.0000,0.0000,3425.35,0,0,0,0,0,0,0,578,231,0,56
Otocolobus_manul,Carnivora,3.98,4.40,4.19,374,,,ZIMS,0.0857,0.0932,2688.23,1,0,1,0,0,1,1,292,158,3,35
Otocyon_megalotis,Carnivora,4.77,4.85,4.81,374,,265,ZIMS,0.2609,0.1993,4006.59,1,1,1,0,0,1,1,201,69,6,23
Ovibos_moschatus,Artiodactyla,228.28,296.46,262.37,1136,1308,,ZIMS,0.0000,0.0000,2993.99,0,0,0,0,0,0,0,149,76,0,32
Pachyuromys_duprasi,Rodentia,0.05,0.07,0.06,,62,,ZIMS,0.0500,,1455.81,1,1,0,0,0,0,0,137,74,1,20
Pan_troglodytes,Primates,56.17,63.73,59.95,3620,2990,374,ZIMS,0.0208,,10519.64,0,0,0,0,0,0,0,964,164,1,48
Panthera_leo,Carnivora,135.62,188.26,161.94,1121,1121,374,ZIMS,0.1275,0.1197,4678.41,1,0,1,0,0,0,1,2084,711,26,204
Panthera_onca,Carnivora,50.71,63.50,57.10,838,747,,ZIMS,0.2439,0.2200,5659.18,1,0,1,1,1,0,1,354,135,10,41
Panthera_pardus,Carnivora,37.48,49.14,43.31,985,789,,ZIMS,0.0500,0.0566,5159.85,1,0,1,0,0,0,1,721,279,5,100
Panthera_tigris,Carnivora,103.30,139.59,121.44,1294,1449,,ZIMS,0.1327,0.1353,4239.66,1,0,1,0,0,0,1,1671,710,26,196
Panthera_uncia,Carnivora,34.61,39.26,36.94,795,747,,ZIMS,0.0989,0.1153,4229.79,1,0,1,0,0,0,1,573,257,9,91
Papio_hamadryas,Primates,15.05,25.85,20.45,1592,1804,,ZIMS,0.0250,0.0229,4958.02,1,1,0,0,0,0,0,1046,413,1,40
Petaurus_breviceps,Diprotodontia,0.09,0.11,0.10,242,467,,ZIMS,0.1071,0.0544,2622.54,1,1,1,0,0,0,0,302,161,3,28
Phacochoerus_africanus,Artiodactyla,81.53,101.73,91.63,592,592,,ZIMS,0.1778,0.2358,3034.37,0,0,0,0,0,0,0,362,166,8,45
Phoca_vitulina,Carnivora,62.25,84.75,73.50,1443,1495,374,ZIMS,0.0000,0.0000,6787.47,,,,,,,,319,86,0,20
Pithecia_pithecia,Primates,1.78,2.14,1.96,794,1495,,ZIMS,0.0000,0.0000,5126.24,0,0,0,0,0,0,0,538,176,0,38
Pongo_pygmaeus,Primates,59.43,99.35,79.39,2820,2616,,ZIMS,0.0909,0.0719,10468.77,1,1,0,0,0,0,0,332,57,2,22
Potamochoerus_porcus,Artiodactyla,69.12,78.98,74.05,1041,1122,,ZIMS,0.0185,0.0199,3194.94,0,0,0,0,0,0,0,534,212,1,54
Prionailurus_bengalensis,Carnivora,3.89,4.88,4.39,442,,,ZIMS,0.0370,0.0140,3218.01,1,0,1,1,1,1,1,241,122,1,27
Prionailurus_viverrinus,Carnivora,8.64,11.73,10.18,300,300,,https://animals.sandiegozoo.org/animals/fishing-cat,0.0500,0.1082,3726.89,1,1,1,1,1,1,1,249,106,1,20
Procavia_capensis,Hyracoidea,3.23,3.45,3.34,572,512,,ZIMS,0.0649,0.0530,1839.65,0,0,0,0,0,0,0,708,396,5,77
Procyon_lotor,Carnivora,5.91,7.46,6.68,369,374,,ZIMS,0.2000,0.1559,3894.25,1,1,1,1,1,1,1,554,217,11,55
Pseudois_nayaur,Artiodactyla,38.79,51.90,45.35,692,,,ZIMS,0.0000,0.0000,3074.35,0,0,0,0,0,0,0,304,118,0,34
Pteropus_giganteus,Chiroptera,0.59,0.72,0.65,374,374,,ZIMS,0.0370,0.1466,3722.03,0,0,0,0,0,0,0,188,100,1,27
Pteropus_lylei,Chiroptera,0.42,0.49,0.46,540,540,,Pierson and Rainey (1992),0.0000,,4444.70,0,0,0,0,0,0,0,323,111,0,23
Pteropus_rodricensis,Chiroptera,0.35,0.36,0.35,540,540,,"Pacifici, Michela, et al. ""Generation length for mammals."" Nature Conservation 5 (2013): 89.",0.0103,0.0078,3647.13,0,0,0,0,0,0,0,1223,504,1,97
Pteropus_vampyrus,Chiroptera,1.11,1.20,1.15,540,540,,https://books.google.fr/books?id=T37sFCl43E8C&pg=PA268&lpg=PA268&dq=pierson+rainey+1992+pteropus&source=bl&ots=rnDeZYRSGZ&sig=ACfU3U1rRLlo5oxx_iy4Z-uhHMpyJgNYVw&hl=en&sa=X&ved=2ahUKEwituZLZia3qAhXnzoUKHUhvB18Q6AEwDXoECAoQAQ#v=onepage&q=pierson%20rainey%201992%20pteropus&f=false,0.1667,0.0606,5213.51,0,0,0,0,0,0,0,299,91,4,24
Pudu_puda,Artiodactyla,8.69,9.34,9.02,247,328,,ZIMS,0.0000,0.0000,2000.25,0,0,0,0,0,0,0,279,181,0,46
Puma_concolor,Carnivora,43.38,58.50,50.94,902,934,,ZIMS,0.1176,0.1191,4386.41,1,0,1,0,0,0,1,225,104,4,34
Pygathrix_nemaeus,Primates,10.88,13.11,11.99,1121,374,,ZIMS,0.0000,,4313.66,0,0,0,0,0,0,0,104,34,0,21
Rangifer_tarandus,Artiodactyla,86.77,128.08,107.42,695,696,374,ZIMS,0.0345,0.0458,2735.58,0,0,0,0,0,0,0,1023,530,3,87
Rousettus_aegyptiacus,Chiroptera,0.12,0.15,0.14,374,374,,ZIMS,0.1250,0.0672,3516.46,0,0,0,0,0,0,0,515,245,3,24
Rousettus_leschenaultii,Chiroptera,0.08,0.10,0.09,154,466,,ZIMS,0.0000,0.0000,2073.84,0,0,0,0,0,0,0,116,72,0,24
